elapsed_sec,step,loss,l1,dssim,ssim,ssim_weight,opacity_reg,size_reg,sigma_reg,sigma_mean,sigma_min,sigma_max,depth_min,depth_mean,depth_max,num_triangles,step_time_sec
36.585804,1,0.38502494,0.38650047,0.35486847,0.29026304,0.05000000,0.10560001,0.00459756,0.00000000,1.15988064,1.15985227,1.16014791,0.00101279,0.49096930,0.99942034,608,27.29561901
805.985996,25,0.20484342,0.19821973,0.32890662,0.34218676,0.05000000,0.08774728,0.01604168,0.00001237,1.15653110,1.15606165,1.16393220,0.00101279,0.49096930,0.99942034,608,31.90991521
1574.424479,50,0.15474190,0.14637984,0.31210256,0.37579487,0.05000000,0.07307764,0.02841072,0.00004471,1.15349853,1.15169835,1.16710794,0.00101279,0.49096930,0.99942034,608,17.01541090
1997.075802,75,0.15449746,0.14598911,0.31478545,0.37042910,0.05000000,0.06506819,0.03454160,0.00007561,1.15162277,1.14717066,1.16537499,0.00101279,0.49096930,0.99942034,608,14.70500946
2393.383080,100,0.15816895,0.14975125,0.31682547,0.36634905,0.05000000,0.06015772,0.03813136,0.00010627,1.14988017,1.14328694,1.16293335,0.00101279,0.50887656,0.99942034,755,14.83780956
2989.909692,125,0.15631741,0.14840254,0.30545149,0.38909700,0.05000000,0.05873247,0.03664639,0.00015974,1.14792645,1.14012384,1.16289020,0.00101279,0.50887656,0.99942034,755,18.68841720
3549.810064,150,0.15784934,0.15087960,0.28910600,0.42178799,0.05000000,0.05423848,0.04148961,0.00021850,1.14601076,1.13677764,1.16381884,0.00101279,0.50887656,0.99942034,755,23.92682171
4106.073595,175,0.15555995,0.14901136,0.27886906,0.44226188,0.05000000,0.05122021,0.04463172,0.00027993,1.14430463,1.13269305,1.16625488,0.00101279,0.50887656,0.99942034,755,28.22004056
4641.788601,200,0.15115947,0.14466500,0.27347602,0.45304795,0.05000000,0.04924098,0.04642718,0.00034496,1.14377534,1.12815201,1.16808820,0.00101279,0.54351360,1.00114346,937,34.21749187
5421.437562,225,0.13900837,0.13206057,0.26976103,0.46047794,0.05000000,0.05881700,0.03921808,0.00037008,1.14274967,1.12527704,1.16938519,0.00101279,0.54351360,1.00114346,937,28.14145184
6092.747479,250,0.13454141,0.12795926,0.25837239,0.48325522,0.05000000,0.05734709,0.04106596,0.00043555,1.14154685,1.12228155,1.17257798,0.00101279,0.54351360,1.00114346,937,22.60659027
6564.295948,275,0.13433789,0.12801453,0.25327758,0.49344482,0.05000000,0.05592235,0.04243112,0.00050899,1.14027035,1.11940658,1.17656219,0.00101279,0.54351360,1.00114346,937,20.07608342
7028.177023,300,0.13436063,0.12816634,0.25086816,0.49826366,0.05000000,0.05482000,0.04318598,0.00058812,1.14160550,1.11676884,1.18009603,0.00101279,0.58375329,1.00114346,1162,16.67416120
7573.190942,325,0.13250332,0.12620741,0.25064589,0.49870821,0.05000000,0.07039015,0.03532365,0.00056838,1.14083910,1.11406577,1.18306315,0.00101279,0.58375329,1.00114346,1162,25.01394963
8209.669944,350,0.12944966,0.12314899,0.24771163,0.50457673,0.05000000,0.06887487,0.03591329,0.00063993,1.13997602,1.11132193,1.18594790,0.00101279,0.58375329,1.00114346,1162,25.24815392
8783.618045,375,0.12992881,0.12364603,0.24787321,0.50425357,0.05000000,0.06772076,0.03624485,0.00071627,1.13910043,1.10864305,1.18858099,0.00101279,0.58375329,1.00114346,1162,20.59031534
9406.850560,400,0.12759955,0.12134736,0.24498264,0.51003472,0.05000000,0.06671263,0.03632610,0.00079665,1.14146411,1.10612738,1.19285631,0.00101279,0.61630201,1.00114346,1438,33.02474117
