elapsed_sec,step,loss,l1,dssim,ssim,ssim_weight,opacity_reg,size_reg,sigma_reg,sigma_mean,sigma_min,sigma_max,depth_min,depth_mean,depth_max,num_triangles,active_fraction,active_x0,active_x1,active_width,active_triangles,step_time_sec
22.133225,1,0.38660655,0.38650047,0.00000000,0.00000000,0.00000000,0.10560001,0.00459756,0.00000000,1.15986335,1.15985227,1.16014755,0.00101279,0.49096930,0.99942034,608,1.00000000,0,512,512,608,16.04522681
652.101169,25,0.17602303,0.17593426,0.00000000,0.00000000,0.00000000,0.08707128,0.01699218,0.00001282,1.15650260,1.15608215,1.16339719,0.00101279,0.49096930,0.99942034,608,0.89528701,54,512,458,549,29.56573009
1408.875634,50,0.08934190,0.08926523,0.00000000,0.00000000,0.00000000,0.07373327,0.02922767,0.00004375,1.15396321,1.15196228,1.16519785,0.00101279,0.49096930,0.99942034,608,0.79878187,103,512,409,490,32.93920207
1995.301064,75,0.06208332,0.06201412,0.00000000,0.00000000,0.00000000,0.06552248,0.03668929,0.00007775,1.15232766,1.14746213,1.16341400,0.00101279,0.49096930,0.99942034,608,0.71361638,147,512,365,436,21.50199604
2490.138023,100,0.05319376,0.05312879,0.00000000,0.00000000,0.00000000,0.06090310,0.04052041,0.00011197,1.15113103,1.14234364,1.16201854,0.00101279,0.49096930,0.99942034,608,0.63845811,185,512,327,389,13.15540218
2955.236805,125,0.04804207,0.04798018,0.00000000,0.00000000,0.00000000,0.05753310,0.04340390,0.00015303,1.15007102,1.13528657,1.16201258,0.00101279,0.49096930,0.99942034,608,0.57213116,219,512,293,347,13.09500146
3283.667811,150,0.04558250,0.04552362,0.00000000,0.00000000,0.00000000,0.05417318,0.04681138,0.00020108,1.14883041,1.12863362,1.16333747,0.00101279,0.49986282,0.99942034,683,0.51359783,249,512,263,386,13.46335435
3597.555235,175,0.04408123,0.04402236,0.00000000,0.00000000,0.00000000,0.05426723,0.04577776,0.00026595,1.14777946,1.12571311,1.16651988,0.00101279,0.49986282,0.99942034,683,0.46194236,275,512,237,355,14.56555724
3971.070004,200,0.03826010,0.03820359,0.00000000,0.00000000,0.00000000,0.05136658,0.05115073,0.00034467,1.14678526,1.12347460,1.16882753,0.00101279,0.49986282,0.99942034,683,0.41635656,299,512,213,318,14.68495893
4350.067528,225,0.03577410,0.03572069,0.00000000,0.00000000,0.00000000,0.04781359,0.05545247,0.00043570,1.14583814,1.12219763,1.16766465,0.00101279,0.49986282,0.99942034,683,0.37612723,319,512,193,292,14.84310675
4724.475284,250,0.03381132,0.03376165,0.00000000,0.00000000,0.00000000,0.04354188,0.06067974,0.00054582,1.14494801,1.12143159,1.16865408,0.00101279,0.49986282,0.99942034,683,0.34062497,338,512,174,258,14.73160172
5096.600783,275,0.03154867,0.03150366,0.00000000,0.00000000,0.00000000,0.03848521,0.06455016,0.00068112,1.14409995,1.11835992,1.16893864,0.00101279,0.49986282,0.99942034,683,0.30929434,354,512,158,232,14.69499326
5467.997524,300,0.03014597,0.03010405,0.00000000,0.00000000,0.00000000,0.03515593,0.06684393,0.00082347,1.14285314,1.11537969,1.16895854,0.00101279,0.52231675,0.99942034,767,0.28164516,368,512,144,291,14.99107742
5809.161258,325,0.03108200,0.03103006,0.00000000,0.00000000,0.00000000,0.04692564,0.04934653,0.00084605,1.14240360,1.11266613,1.16895854,0.00101279,0.52231675,0.99942034,767,0.25724484,380,512,132,269,13.44320679
6207.806013,350,0.02756170,0.02751289,0.00000000,0.00000000,0.00000000,0.04370065,0.05011990,0.00096539,1.14182937,1.11005557,1.16895854,0.00101279,0.52231675,0.99942034,767,0.23571163,391,512,121,249,17.02239060
